pdrf_setting,cagf_setting,mean_difference,ci_low,ci_high,wins,losses,p
RO-PDRF interior=0,RO-CAGF KL=0,0.007566736877864877,-0.004518408994476104,0.024478437644559224,5,5,0.625
RO-PDRF interior=0,RO-CAGF KL=.001,0.008130077008282822,-0.0029039048794593327,0.022913925341416,5,5,0.625
RO-PDRF interior=0,RO-CAGF KL=.005,0.006518180844385912,-0.0054828025030526865,0.01741010757990091,7,3,0.375
RO-PDRF interior=0,RO-CAGF KL=.020,0.004292696890990477,-0.006510090792726419,0.01374504134577165,6,4,0.322265625
RO-PDRF interior=.001,RO-CAGF KL=0,0.007791572045087636,-0.003917632623045638,0.0245707749501673,5,5,0.625
RO-PDRF interior=.001,RO-CAGF KL=.001,0.00835491217550558,-0.0022304153798380516,0.023003067674852745,5,5,0.556640625
RO-PDRF interior=.001,RO-CAGF KL=.005,0.006743016011608672,-0.005045305820705317,0.01743731945216252,7,3,0.431640625
RO-PDRF interior=.001,RO-CAGF KL=.020,0.004517532058213236,-0.006083425167653744,0.01388391163492051,6,4,0.375
RO-PDRF interior=.005,RO-CAGF KL=0,0.008394472972024402,-0.0029838239542153227,0.024874118489153618,5,5,0.375
RO-PDRF interior=.005,RO-CAGF KL=.001,0.008957813102442347,-0.001299222591921756,0.023318337591073095,5,5,0.431640625
RO-PDRF interior=.005,RO-CAGF KL=.005,0.0073459169385454385,-0.004217564491314604,0.017777812162896173,7,3,0.322265625
RO-PDRF interior=.005,RO-CAGF KL=.020,0.005120432985150003,-0.005455480519668793,0.014327138235918493,7,3,0.322265625
RO-PDRF interior=.020,RO-CAGF KL=0,0.008918263131214566,-0.0026528327148158315,0.025465680451940413,6,4,0.275390625
RO-PDRF interior=.020,RO-CAGF KL=.001,0.009481603261632509,-0.001265479611871125,0.02404825331460691,5,5,0.431640625
RO-PDRF interior=.020,RO-CAGF KL=.005,0.007869707097735601,-0.003959017434039442,0.01871352818229444,7,3,0.275390625
RO-PDRF interior=.020,RO-CAGF KL=.020,0.005644223144340166,-0.005236180982090173,0.015306511823520132,7,3,0.322265625
