architecture,objective,mean,sd,delta,lo,hi,p
EF-PD,Paired degradation,0.7466063350137215,0.006265289277981765,-0.011853667175028716,-0.01632065036261158,-0.0073866839874458514,0.0020
EF-PD,Clean distillation,0.7584600021887502,0.006074920823861252,0.0,0.0,0.0,--
UF-PD,Paired degradation,0.7633342114895754,0.010180760052385012,-0.02730119650885321,-0.03633638100700358,-0.01826601201070284,0.0039
UF-PD,Clean distillation,0.7906354079984286,0.008116153783346744,0.0,0.0,0.0,--
CAGF,Paired degradation,0.7917117644558871,0.026968582524563526,-0.00852824743760897,-0.02323304659128951,0.006176551716071569,0.2754
CAGF,Clean distillation,0.8002400118934961,0.023911666259310713,0.0,0.0,0.0,--
CAGF,Full recovery,0.7969347900764326,0.021699409060373213,-0.0033052218170634418,-0.012224069914544855,0.005613626280417972,0.6250
PDRF,Paired degradation,0.7907121977222623,0.010141090925105076,-0.01160280328610389,-0.013822371051588518,-0.009383235520619263,0.0020
PDRF,Clean distillation,0.8023150010083662,0.008292039493946751,0.0,0.0,0.0,--
PDRF,Full recovery,0.8042807070149781,0.009359312276635666,0.001965706006611889,-0.0007261229795245353,0.004657534992748314,0.1934
