scope,variant,n_predictions,recovery_opportunities,recovery_preserved,recovery_preservation_rate,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_remaining_rate,negative_transfer_prevented_rate,recovery_usage
drift,Balanced,14360,297,61,0.2053872053872054,318,61,0.1918238993710692,0.8081761006289309,0.6527855153203342
drift,Safe,14360,297,23,0.07744107744107744,318,28,0.0880503144654088,0.9119496855345912,0.49366295264623955
gaussian,Balanced,14360,621,286,0.4605475040257649,315,98,0.3111111111111111,0.6888888888888889,0.6665738161559889
gaussian,Safe,14360,621,191,0.3075684380032206,315,47,0.1492063492063492,0.8507936507936508,0.5220055710306407
offset,Balanced,14360,398,111,0.27889447236180903,418,72,0.1722488038277512,0.8277511961722488,0.6447771587743732
offset,Safe,14360,398,41,0.10301507537688442,418,34,0.08133971291866028,0.9186602870813397,0.49066852367688024
stuck_at,Balanced,14360,376,111,0.29521276595744683,324,63,0.19444444444444445,0.8055555555555556,0.6148328690807799
stuck_at,Safe,14360,376,48,0.1276595744680851,324,28,0.08641975308641975,0.9135802469135802,0.46072423398328693
four_fault_types,Balanced,57440,1692,569,0.33628841607565013,1375,294,0.21381818181818182,0.7861818181818182,0.6447423398328691
four_fault_types,Safe,57440,1692,303,0.17907801418439717,1375,137,0.09963636363636363,0.9003636363636364,0.49176532033426185
