setting,seed,macro_auroc,accuracy,n,raw_score_violation,unnormalized_weight_violation,normalized_weight_violation,other_weight_mean_change,score_saturation,mean_score_before,mean_score_after
bound_1,101,0.8017700235477584,0.5091659028414299,1383,0.04049168474331164,0.04049168474331164,0.044107013738250184,0.008545965887606144,0.11858279103398409,0.27338555455207825,0.7849530577659607
bound_2,101,0.8047306333869799,0.5107699358386801,1383,0.049891540130151846,0.049891540130151846,0.05278380332610268,0.01239367388188839,0.0,0.4620558023452759,1.221306324005127
bound_3,101,0.8052650138794045,0.5132905591200734,1383,0.05422993492407809,0.05422993492407809,0.05712219812002892,0.014944005757570267,0.0,0.5572346448898315,1.4856938123703003
bound_4,101,0.8050272644456937,0.5137488542621448,1383,0.0549530007230658,0.0549530007230658,0.05784526391901663,0.016355998814105988,0.0,0.6028116941452026,1.6312037706375122
bound_5,101,0.8049417542795047,0.5130614115490376,1383,0.0549530007230658,0.0549530007230658,0.05784526391901663,0.01710565946996212,0.0,0.6213862299919128,1.7002537250518799
beta_0.1,101,0.8003305946430318,0.5064161319890009,1383,0.03036876355748373,0.03036876355748373,0.033261026753434564,0.006042414344847202,0.0,0.6026450991630554,1.5022258758544922
beta_0.25,101,0.8052650138794045,0.5132905591200734,1383,0.05422993492407809,0.05422993492407809,0.05712219812002892,0.014944005757570267,0.0,0.5572346448898315,1.4856938123703003
beta_0.5,101,0.8121086286183146,0.523602199816682,1383,0.08893709327548807,0.08893709327548807,0.0918293564714389,0.02900657057762146,0.0,0.5317431688308716,1.517573356628418
beta_0.75,101,0.8158643467388346,0.5302474793767186,1383,0.09544468546637744,0.09544468546637744,0.09833694866232827,0.04337317869067192,0.0,0.5173033475875854,1.608949899673462
rank_weight_0.05,101,0.7962270913749346,0.5142071494042163,1383,0.35936370209689084,0.35936370209689084,0.36080983369486624,0.003244694322347641,0.0,-0.04805634915828705,0.16238686442375183
rank_weight_0.15,101,0.8052650138794045,0.5132905591200734,1383,0.05422993492407809,0.05422993492407809,0.05712219812002892,0.014944005757570267,0.0,0.5572346448898315,1.4856938123703003
rank_weight_0.3,101,0.8100511258315423,0.5059578368469294,1383,0.01373825018076645,0.01373825018076645,0.01735357917570499,0.018904201686382294,0.0,0.8846941590309143,2.077854633331299
