seed,rank_weight,n_affected_observed,delta_log_variance,delta_clipped_log_variance,pre_upper_clip_fraction,post_upper_clip_fraction,delta_normalized_weight
101,0.0,1374,-1.9933760166168213,0.7081443667411804,0.008005822077393532,0.31659388542175293,-0.0182828139513731
101,0.15,1374,27.307514190673828,3.654513359069824,0.07205240428447723,0.9053857326507568,-0.15383513271808624
101,0.03,1374,4.26641845703125,1.9352712631225586,0.024017468094825745,0.5152838230133057,-0.07532303035259247
101,0.07,1374,4.102686882019043,2.619297504425049,0.01965065486729145,0.5152838230133057,-0.11460670828819275
101,0.3,1374,20.917186737060547,3.2802467346191406,0.06695778667926788,0.9541484713554382,-0.12456561625003815
102,0.0,1325,0.36830276250839233,0.6938912868499756,0.013584905304014683,0.25886791944503784,-0.020368091762065887
102,0.15,1325,5.79813289642334,3.1319265365600586,0.014339623041450977,0.8739622831344604,-0.12499474734067917
102,0.03,1325,1.6273962259292603,1.3579599857330322,0.012830188497900963,0.19849056005477905,-0.05745820701122284
102,0.07,1325,15.870437622070312,3.0916929244995117,0.04528301954269409,0.8679245114326477,-0.12754909694194794
102,0.3,1325,10.009162902832031,3.6929097175598145,0.030188679695129395,0.9049056768417358,-0.15488497912883759
103,0.0,1389,-0.5681437849998474,0.5251430869102478,0.005039596930146217,0.15406768023967743,-0.01720375381410122
103,0.15,1389,14.366927146911621,3.247950553894043,0.04679625481367111,0.8948884010314941,-0.13663175702095032
103,0.03,1389,0.16439567506313324,1.1386810541152954,0.01151907816529274,0.2836573123931885,-0.04427647963166237
103,0.07,1389,5.645580768585205,2.6527113914489746,0.022318214178085327,0.6342692375183105,-0.11253608763217926
103,0.3,1389,3.873455286026001,3.196892023086548,0.0043196543119847775,0.5176385641098022,-0.1448637694120407
104,0.0,1436,-3.218127727508545,0.31453782320022583,0.009052924811840057,0.2165738195180893,-0.002580605912953615
104,0.15,1436,14.922008514404297,3.3989672660827637,0.029944289475679398,0.9192200303077698,-0.149043008685112
104,0.03,1436,4.690334320068359,1.445509433746338,0.013927577063441277,0.5696378946304321,-0.054145604372024536
104,0.07,1436,9.92299747467041,2.5183801651000977,0.022284122183918953,0.7924790978431702,-0.1049148291349411
104,0.3,1436,13.778884887695312,3.258545160293579,0.013927577063441277,0.9554317593574524,-0.13750748336315155
105,0.0,1398,-0.3536558449268341,0.4604705274105072,0.0,0.2260371893644333,-0.010740155354142189
105,0.15,1398,21.076467514038086,3.9193575382232666,0.06294706463813782,0.9484978318214417,-0.1526653915643692
105,0.03,1398,1.9739482402801514,1.6867706775665283,0.0035765378270298243,0.26895564794540405,-0.07223966717720032
105,0.07,1398,4.981096267700195,2.549024820327759,0.0221745353192091,0.6230329275131226,-0.10974330455064774
105,0.3,1398,8.90402889251709,3.9835221767425537,0.009298998862504959,0.9248927235603333,-0.1480756402015686
106,0.0,1381,-1.3346370458602905,0.14710621535778046,0.0050687906332314014,0.19623461365699768,0.0059287091717123985
106,0.15,1381,14.354126930236816,4.17775297164917,0.028964517638087273,0.8783490061759949,-0.1825638860464096
106,0.03,1381,4.386719226837158,2.5134944915771484,0.010137581266462803,0.48225924372673035,-0.10660865157842636
106,0.07,1381,9.903802871704102,3.7453997135162354,0.013758146204054356,0.7422158122062683,-0.1604243963956833
106,0.3,1381,48.590179443359375,4.879536151885986,0.06661839038133621,0.953656792640686,-0.21449598670005798
107,0.0,1424,-0.44163084030151367,0.10201729834079742,0.007022472098469734,0.2584269642829895,0.009278674609959126
107,0.15,1424,5.4565534591674805,3.3069136142730713,0.004213483072817326,0.6790730357170105,-0.14548581838607788
107,0.03,1424,1.3823156356811523,1.0846599340438843,0.006320224609225988,0.3714887499809265,-0.03634754940867424
107,0.07,1424,5.75263786315918,2.1465277671813965,0.014044944196939468,0.6376404762268066,-0.08974802494049072
107,0.3,1424,26.881393432617188,4.152215003967285,0.08426966518163681,0.9698033928871155,-0.17818182706832886
108,0.0,1448,-1.8701575994491577,0.33759549260139465,0.0,0.07044199109077454,-0.007439540699124336
108,0.15,1448,22.593482971191406,3.2168846130371094,0.056629832834005356,0.9323204159736633,-0.1254318505525589
108,0.03,1448,1.736316204071045,1.490981101989746,0.0013812155229970813,0.3908839821815491,-0.05796423554420471
108,0.07,1448,12.932249069213867,3.037529230117798,0.04074585810303688,0.7866021990776062,-0.12514109909534454
108,0.3,1448,23.274974822998047,3.3557732105255127,0.05179557949304581,0.9613259434700012,-0.12561576068401337
109,0.0,1410,-0.3641132712364197,0.36616259813308716,0.0,0.2645390033721924,-0.006461698096245527
109,0.15,1410,15.300334930419922,3.229039192199707,0.04680851101875305,0.9134751558303833,-0.12585797905921936
109,0.03,1410,2.074542760848999,1.0306987762451172,0.007801418658345938,0.4262411296367645,-0.03639305755496025
109,0.07,1410,10.15241813659668,2.159715414047241,0.026950353756546974,0.7432624101638794,-0.08435828983783722
109,0.3,1410,24.428468704223633,3.6522724628448486,0.05460992828011513,0.9751772880554199,-0.13571952283382416
110,0.0,1345,-0.9130131602287292,0.14066441357135773,0.0,0.17472119629383087,0.005037315189838409
110,0.15,1345,19.799318313598633,3.8168234825134277,0.07211896032094955,0.8907063007354736,-0.15792112052440643
110,0.03,1345,0.4008021354675293,0.8539081811904907,0.0,0.10185873508453369,-0.033933110535144806
110,0.07,1345,6.776832580566406,3.1834020614624023,0.0014869888545945287,0.6304832696914673,-0.13082914054393768
110,0.3,1345,26.673503875732422,4.464199066162109,0.03271375596523285,0.9174721240997314,-0.1771097481250763
