seed,model,train_seconds,parameters
101,EF,3.8895230999996784,26182
101,MD,2.9286453000004258,26182
101,UF,5.624357300000156,17560
101,GF,3.2940726999995604,26588
101,RWF,5.5486369999998715,19740
101,CFA,7.340243100000407,19740
101,CRF_NR,9.587950899999669,19740
101,CRF,10.738397399999485,19740
102,EF,1.9131280000001425,26182
102,MD,2.6133127000002787,26182
102,UF,5.464523700000427,17560
102,GF,3.348066999999901,26588
102,RWF,6.15552789999947,19740
102,CFA,7.964131700000507,19740
102,CRF_NR,8.515694200000326,19740
102,CRF,9.448471499999869,19740
103,EF,2.124223499999971,26182
103,MD,2.5117544999993697,26182
103,UF,4.890200699999696,17560
103,GF,3.10687229999985,26588
103,RWF,5.869575400000031,19740
103,CFA,7.077724099999614,19740
103,CRF_NR,7.412239600000248,19740
103,CRF,8.229184900000291,19740
104,EF,2.560809800000243,26182
104,MD,2.083933299999444,26182
104,UF,4.263007099999413,17560
104,GF,3.601985600000262,26588
104,RWF,5.495858200000839,19740
104,CFA,7.0707656000004135,19740
104,CRF_NR,9.039646899999752,19740
104,CRF,7.273376400000416,19740
105,EF,1.9832266000003074,26182
105,MD,2.702834300000177,26182
105,UF,4.904078999999911,17560
105,GF,5.690606000000116,26588
105,RWF,4.150412800000595,19740
105,CFA,8.348135700000057,19740
105,CRF_NR,8.000527600000169,19740
105,CRF,10.939810800000487,19740
106,EF,2.4603496999998242,26182
106,MD,3.18407230000048,26182
106,UF,4.379529800000455,17560
106,GF,3.979262099999687,26588
106,RWF,5.516203199999836,19740
106,CFA,7.096037399999659,19740
106,CRF_NR,7.762494299999162,19740
106,CRF,7.823753900000156,19740
107,EF,1.2468507000003228,26182
107,MD,2.100288999999975,26182
107,UF,3.345697100000507,17560
107,GF,4.216396699999677,26588
107,RWF,5.159877000000051,19740
107,CFA,6.967177200000151,19740
107,CRF_NR,8.152086899999631,19740
107,CRF,8.200326500000301,19740
108,EF,2.4807637000003524,26182
108,MD,2.5316428000005544,26182
108,UF,4.751584199999343,17560
108,GF,2.9625352999992174,26588
108,RWF,6.980298900000889,19740
108,CFA,8.670373400000244,19740
108,CRF_NR,8.540291100000104,19740
108,CRF,7.81120010000086,19740
109,EF,1.8692111999998815,26182
109,MD,2.8449125999995886,26182
109,UF,3.152230900000177,17560
109,GF,3.745410599999559,26588
109,RWF,4.633485700000165,19740
109,CFA,7.162376299999778,19740
109,CRF_NR,6.7781415000008565,19740
109,CRF,8.1867986999996,19740
110,EF,1.7872770000003584,26182
110,MD,2.6164741000002323,26182
110,UF,3.925877699999546,17560
110,GF,3.65504940000028,26588
110,RWF,4.523734299999887,19740
110,CFA,7.069982099999834,19740
110,CRF_NR,6.721099700000195,19740
110,CRF,8.227788300000611,19740
